,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
40,40,2020-07,1690515.0,760514.0,930001.0,17.009677419354837,12.59677419354839,21.09354838709677,7.090322580645161,2.161290322580645,2.045161290322581,0.6516129032258066,2020-07,1690515.0,760514.0,930001.0,17.00967741935484,12.59677419354839,21.09354838709677,7.090322580645161,2.161290322580645,2.045161290322581,0.6516129032258066,2003-05,3553181,1782708,1770473,13.251612903225809,9.164516129032258,17.064516129032253,6.909677419354838,2.229032258064516,3.270967741935484,1.1935483870967742
41,41,2020-08,2242935.0,1198701.0,1044234.0,20.5483870967742,15.7258064516129,25.50967741935484,7.509677419354841,1.1806451612903224,2.5612903225806454,1.1645161290322583,2020-08,2242935.0,1198701.0,1044234.0,20.5483870967742,15.7258064516129,25.50967741935484,7.509677419354841,1.180645161290322,2.561290322580645,1.164516129032258,2003-06,3695057,1822519,1872538,17.41,11.513333333333332,22.329999999999995,8.453333333333331,0.4066666666666666,0.7399999999999998,0.5233333333333334
42,42,2021-07,3515159.0,1584635.0,1930524.0,17.990322580645163,13.803225806451614,22.351612903225806,6.432258064516129,0.6580645161290323,1.9580645161290324,1.238709677419355,2021-07,3515159.0,1584635.0,1930524.0,17.99032258064516,13.80322580645161,22.35161290322581,6.432258064516129,0.6580645161290323,1.958064516129032,1.238709677419355,2003-07,4244484,2010027,2234457,18.68064516129032,13.419354838709676,23.429032258064527,7.754838709677419,1.035483870967742,1.3806451612903223,0.6516129032258065
43,43,2021-08,4479180.0,2368993.0,2110187.0,17.08064516129032,13.206451612903228,21.09032258064516,5.409677419354841,0.8870967741935484,2.980645161290324,1.8806451612903223,2021-08,4479180.0,2368993.0,2110187.0,17.08064516129032,13.20645161290323,21.09032258064516,5.409677419354841,0.8870967741935484,2.980645161290324,1.880645161290322,2003-08,4194993,2221070,1973923,19.23870967741936,14.274193548387093,24.28064516129032,7.174193548387094,0.3645161290322581,0.4935483870967742,0.2870967741935484
44,44,,,,,,,,,,,,,,,,,,,,,,,2003-09,3898022,1931401,1966621,14.836666666666668,9.310000000000004,20.18,6.819999999999999,1.3199999999999998,1.8300000000000003,0.7766666666666666
45,45,,,,,,,,,,,,,,,,,,,,,,,2003-10,3915075,1989708,1925367,8.548387096774192,4.538709677419356,12.506451612903223,4.787096774193548,1.729032258064516,2.764516129032258,0.7161290322580645
46,46,,,,,,,,,,,,,,,,,,,,,,,2003-11,3067998,1538955,1529043,8.096666666666668,5.416666666666667,10.736666666666665,2.1533333333333338,1.583333333333333,1.5566666666666664,0.5433333333333333
47,47,,,,,,,,,,,,,,,,,,,,,,,2003-12,2932855,1431518,1501337,4.577419354838711,1.6774193548387095,7.138709677419355,1.8516129032258064,2.05483870967742,2.916129032258065,0.7741935483870966
48,48,,,,,,,,,,,,,,,,,,,,,,,2004-01,2818427,1424496,1393931,3.909677419354838,1.164516129032258,6.254838709677418,1.6129032258064515,3.45483870967742,3.425806451612903,0.9290322580645162
49,49,,,,,,,,,,,,,,,,,,,,,,,2004-02,2922639,1439234,1483405,5.096551724137932,2.331034482758621,7.717241379310345,2.641379310344828,2.372413793103448,2.7,1.0034482758620686
